日付,曜日,休日,売上,気温,降雨,金曜
1,木,0,171500,26.3,無,0
2,金,0,179700,22.1,無,1
3,土,1,144700,20.8,無,0
4,日,1,132300,20.1,有,0
5,月,0,147500,17.6,有,0
6,火,0,162000,23.3,有,0
7,水,0,174100,26.6,無,0
8,木,0,160100,21.3,無,0
9,金,0,176200,20.8,無,1
10,土,1,143100,22,無,0
11,日,1,144600,21.1,無,0
12,月,1,137300,20.3,有,0
13,火,0,154200,16.7,無,0
14,水,0,144000,15.9,有,0
15,木,0,147300,18.2,有,0
16,金,0,168400,18.4,有,1
17,土,1,136400,17.7,無,0
18,日,1,130500,17.2,無,0
19,月,0,144400,15.5,有,0
20,火,0,151300,16.1,無,0
21,水,0,150500,16.3,無,0
22,木,0,151600,16,無,0
23,金,0,153500,13.8,有,1
24,土,1,133300,17.4,無,0
25,日,1,133700,17.5,無,0
26,月,0,152400,17.9,無,0
27,火,0,151700,19,有,0
28,水,0,152900,16.3,無,0
29,木,0,141700,16,有,0
30,金,0,176500,19,無,1
31,土,1,130900,15,無,0
